loss,actor_loss,critic_loss,mean_entropy,mean_reward,mean_value,mean_returns,mean_advantage,gradient_norm
-0.2433,-0.2085,0.0037,3.6630,0.2337,1.2120,1.2258,0.1171,1.4484
-0.0971,-0.0704,0.0077,3.0540,0.3403,1.2435,1.2388,-0.0362,1.0202
-0.1491,-0.1328,0.0269,2.9769,0.2297,1.0747,1.0776,0.0408,0.5784
-0.1873,-0.1838,0.0472,2.7104,0.2436,0.8932,0.9256,0.1016,0.6215
-0.0986,-0.0765,0.0141,2.9113,0.3007,1.1652,1.1475,-0.0287,1.4154
-0.0057,0.0066,0.0372,3.0958,0.2814,1.0906,1.0130,-0.1006,0.9666
-0.0766,-0.0731,0.0492,2.8189,0.2538,0.9676,0.9471,-0.0207,1.1425
-0.1471,-0.1262,0.0178,2.9779,0.2341,1.0189,1.0367,0.0375,1.1025
-0.1982,-0.1801,0.0219,2.9111,0.3018,1.1278,1.1602,0.0940,1.4031
-0.0923,-0.0688,0.0159,3.1437,0.2163,1.0672,1.0842,-0.0426,0.8264
-0.1379,-0.1285,0.0328,2.5856,0.3138,1.1860,1.1654,0.0549,1.0989
-0.0946,-0.0743,0.0124,2.6505,0.2490,1.1392,1.1045,-0.0195,0.8950
0.0102,0.0200,0.0350,2.7234,0.2876,1.1463,1.1135,-0.0992,0.7257
0.0229,0.0272,0.0480,2.8272,0.2519,0.9346,0.9553,-0.1410,0.8242
-0.1126,-0.0978,0.0189,2.4206,0.2988,1.2412,1.1921,0.0171,1.3010
-0.1170,-0.0935,0.0047,2.5836,0.3246,1.3125,1.2908,0.0077,0.9932
-0.1082,-0.0922,0.0108,2.1403,0.3716,1.2436,1.2503,-0.0176,0.9312
-0.2577,-0.2503,0.0403,2.7559,0.2573,1.0378,1.1031,0.1557,2.7065
-0.1245,-0.1114,0.0295,2.7835,0.2372,1.0032,1.0238,0.0068,0.7896
-0.1368,-0.1300,0.0426,2.8081,0.2415,1.0410,1.0412,0.0138,1.3232
-0.1626,-0.1612,0.0506,2.6673,0.2127,0.9491,0.9081,0.0563,1.4408
-0.0742,-0.0665,0.0348,2.5061,0.2414,1.1067,1.0946,-0.0280,1.2264
-0.0309,-0.0133,0.0069,2.1006,0.3501,1.3244,1.2997,-0.0712,1.0445
