epoch,num_p_nodes,arrival_rate,v_net_count,success_count,place_failure,route_failure,avg_r2c_ratio,avg_reward,max_running_requests,elapsed_time
46,186,0.253,1000,1000,0,0,1.6571826360535744,2.6571826360535624,148,179.24785828590393
47,336,0.907,1000,941,59,0,1.4370947011105244,2.3302275423163867,360,226.68291664123535
48,313,0.767,1000,970,30,0,1.379374702548156,2.326560921789145,335,186.00837302207947
49,309,0.744,1000,982,18,0,1.3385929135216714,2.3087593521893606,324,190.43133068084717
50,286,0.623,1000,947,53,0,1.2678654745052225,2.1797261440389373,291,185.99798798561096
51,418,1.561,1000,887,113,0,1.2594581606048665,2.0687846265517016,467,235.39346361160278
52,463,2.038,1000,853,147,0,1.2389096683767626,1.9911383598237462,545,248.86282634735107
53,50,0.013,1000,948,0,52,1.7880946461753608,2.678449438859925,12,132.73256921768188
54,213,0.331,1000,1000,0,0,1.557314105415038,2.5573141054150343,184,154.81897163391113
55,222,0.361,1000,1000,0,0,1.537546882851572,2.537546882851546,190,156.13782668113708
56,395,1.352,1000,887,113,0,1.4186235779116911,2.2163742723377973,434,218.93913102149963
57,340,0.933,1000,939,61,0,1.3708193772121258,2.264418045995795,385,196.95585322380066
58,381,1.234,1000,932,68,0,1.392247815058058,2.2731396461737696,427,209.03566598892212
59,159,0.188,1000,999,0,1,1.6332651137771867,2.6310318486634015,110,146.23242044448853
60,477,2.205,1000,894,106,0,1.4065014595544227,2.2128138921431995,544,241.99563694000244
61,359,1.065,1000,873,127,0,1.3117057313198242,2.0909484685215234,389,211.6537835597992
62,322,0.820,1000,955,45,0,1.3191827602806703,2.2433663614648265,357,201.01902270317078
63,350,1.001,1000,924,76,0,1.3068452918043267,2.1804921131192208,379,212.10312581062317
64,177,0.230,1000,991,0,9,1.6017389587147544,2.580478863641871,140,145.49072170257568
65,236,0.410,1000,1000,0,0,1.5138336322017079,2.5138336322016563,218,162.54163908958435
66,281,0.599,1000,991,9,0,1.32102780713624,2.3060107790942044,305,181.11467337608337
67,154,0.178,1000,1000,0,0,1.621087724403185,2.6210877244031843,107,144.08172392845154
68,259,0.500,1000,997,0,3,1.488248930357709,2.481853628011035,243,165.99241590499878
69,354,1.029,1000,906,94,0,1.2695778297421163,2.1096625137463114,378,199.59076976776123
